total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
2915,1330,1585,,1532,539,187,875,1391,1349,42,197700,1584,69112,56529,160,1346,1346,1327,19,547,244,77,1293,56,1055,Census Tract 57.04; Westchester County; New York,36,119,005704,2022,acs/acs5,2025-10-13T11:21:08.326779
4826,2405,2421,,1606,420,303,2972,1938,1884,54,368700,1605,83950,34077,663,2330,2330,2211,119,490,198,10,2211,459,2144,Census Tract 58; Westchester County; New York,36,119,005800,2022,acs/acs5,2025-10-13T11:21:08.326789
4866,2314,2552,,1916,966,156,2003,1915,1884,31,369700,1701,70049,33190,611,2600,2600,2476,124,333,280,41,2375,174,2184,Census Tract 59.01; Westchester County; New York,36,119,005901,2022,acs/acs5,2025-10-13T11:21:08.326799
6243,2992,3251,,3435,1366,175,1785,2713,2515,198,836700,1588,106676,77681,148,4076,4076,3598,478,792,519,115,3598,718,3152,Census Tract 59.02; Westchester County; New York,36,119,005902,2022,acs/acs5,2025-10-13T11:21:08.326808
4411,1932,2479,,1815,1105,551,1238,1904,1820,84,508200,2285,108194,73941,229,2609,2609,2503,106,723,734,114,2459,467,2035,Census Tract 60; Westchester County; New York,36,119,006000,2022,acs/acs5,2025-10-13T11:21:08.326824
5237,2428,2809,,2088,667,796,2173,1962,1954,8,420200,2552,103942,53901,929,3089,3089,3036,53,806,512,87,2996,699,2615,Census Tract 61; Westchester County; New York,36,119,006100,2022,acs/acs5,2025-10-13T11:21:08.326840
5592,2946,2646,,1896,716,0,3854,2151,2054,97,517500,1618,50750,33431,807,2916,2916,2499,417,383,354,0,2469,378,2269,Census Tract 62; Westchester County; New York,36,119,006200,2022,acs/acs5,2025-10-13T11:21:08.326851
3105,1632,1473,,1205,1293,128,710,1309,1214,95,568700,1665,61515,32722,447,1603,1603,1494,109,302,290,0,1468,303,1232,Census Tract 63.01; Westchester County; New York,36,119,006301,2022,acs/acs5,2025-10-13T11:21:08.326861
2783,1416,1367,,805,1120,68,748,1276,1263,13,,1446,71780,36152,505,1428,1428,1384,44,157,374,0,1349,460,1349,Census Tract 63.02; Westchester County; New York,36,119,006302,2022,acs/acs5,2025-10-13T11:21:08.326887
5995,2782,3213,,1871,2492,358,1948,2275,2135,140,608900,1696,81083,45144,943,3437,3437,3192,245,825,562,174,3062,668,2795,Census Tract 64; Westchester County; New York,36,119,006400,2022,acs/acs5,2025-10-13T11:21:08.326898
5049,2590,2459,,1850,1205,332,1782,1726,1579,147,651800,1844,105164,49392,745,2677,2677,2444,233,664,400,19,2366,416,2056,Census Tract 65; Westchester County; New York,36,119,006500,2022,acs/acs5,2025-10-13T11:21:08.326907
6551,3031,3520,,3871,1021,256,1692,2011,1987,24,618800,1930,133488,59149,846,3573,3556,3185,371,805,878,56,3105,477,2658,Census Tract 66; Westchester County; New York,36,119,006600,2022,acs/acs5,2025-10-13T11:21:08.326917
5160,2910,2250,,4278,538,211,561,1694,1664,30,1100800,,250001,117810,85,2856,2856,2718,138,1037,1061,73,2660,657,1918,Census Tract 67; Westchester County; New York,36,119,006700,2022,acs/acs5,2025-10-13T11:21:08.326926
5061,2557,2504,,4339,116,399,148,1793,1677,116,827900,3501,226182,102016,105,2341,2341,2322,19,1322,763,121,2316,365,1681,Census Tract 68.01; Westchester County; New York,36,119,006801,2022,acs/acs5,2025-10-13T11:21:08.326936
5797,2912,2885,,3970,975,228,703,2129,2072,57,822900,1806,196786,103490,198,2939,2939,2836,103,1019,1128,134,2786,515,2200,Census Tract 68.02; Westchester County; New York,36,119,006802,2022,acs/acs5,2025-10-13T11:21:08.326946
6373,3344,3029,,4980,342,375,597,2046,2007,39,1282000,2485,250001,127834,63,3414,3414,3240,174,1428,948,114,3225,780,2245,Census Tract 69; Westchester County; New York,36,119,006900,2022,acs/acs5,2025-10-13T11:21:08.326955
6269,2972,3297,,4853,266,330,454,2667,2489,178,908700,2202,209926,144488,257,3515,3515,3480,35,1548,1083,189,3433,889,2774,Census Tract 70; Westchester County; New York,36,119,007000,2022,acs/acs5,2025-10-13T11:21:08.326965
6549,3289,3260,,5709,91,316,614,2304,2208,96,1361400,1977,220714,115372,117,3221,3221,2888,333,1540,1054,162,2888,1084,2162,Census Tract 71; Westchester County; New York,36,119,007100,2022,acs/acs5,2025-10-13T11:21:08.326975
7169,4083,3086,,5042,371,207,1686,2820,2561,259,660000,1680,103379,76585,790,3474,3474,3354,120,1313,803,98,3253,667,2648,Census Tract 72; Westchester County; New York,36,119,007200,2022,acs/acs5,2025-10-13T11:21:08.326987
